# wavelength[µm] (rp/rs)^2 error
4.57149341e+00 2.00679065e-02 2.00679065e-07
4.55547528e+00 2.00648064e-02 2.00648064e-07
4.53951329e+00 2.00667197e-02 2.00667197e-07
4.52360722e+00 2.00717300e-02 2.00717300e-07
4.50775688e+00 2.00765752e-02 2.00765752e-07
4.49196209e+00 2.00751152e-02 2.00751152e-07
4.47622264e+00 2.00758307e-02 2.00758307e-07
4.46053833e+00 2.00759453e-02 2.00759453e-07
4.44490899e+00 2.00805304e-02 2.00805304e-07
4.42933440e+00 2.00795202e-02 2.00795202e-07
4.41381439e+00 2.00816850e-02 2.00816850e-07
4.39834876e+00 2.00788021e-02 2.00788021e-07
4.38293732e+00 2.00745440e-02 2.00745440e-07
4.36757988e+00 2.00791533e-02 2.00791533e-07
4.35227625e+00 2.00831700e-02 2.00831700e-07
4.33702625e+00 2.00817784e-02 2.00817784e-07
4.32182968e+00 2.00772149e-02 2.00772149e-07
4.30668636e+00 2.00848670e-02 2.00848670e-07
4.29159609e+00 2.00635541e-02 2.00635541e-07
4.27655871e+00 2.00421870e-02 2.00421870e-07
4.26157401e+00 2.00398870e-02 2.00398870e-07
4.24664182e+00 2.00143869e-02 2.00143869e-07
4.23176194e+00 1.99054728e-02 1.99054728e-07
4.21693421e+00 1.99123435e-02 1.99123435e-07
4.20215843e+00 1.98089249e-02 1.98089249e-07
4.18743443e+00 1.97198219e-02 1.97198219e-07
4.17276201e+00 1.96929364e-02 1.96929364e-07
4.15814101e+00 1.96565888e-02 1.96565888e-07
4.14357124e+00 1.95843892e-02 1.95843892e-07
4.12905252e+00 1.96031561e-02 1.96031561e-07
4.11458467e+00 1.96187524e-02 1.96187524e-07
4.10016751e+00 1.95866495e-02 1.95866495e-07
4.08580088e+00 1.96547953e-02 1.96547953e-07
4.07148458e+00 1.95631460e-02 1.95631460e-07
4.05721844e+00 1.95628975e-02 1.95628975e-07
4.04300229e+00 1.95372758e-02 1.95372758e-07
4.02883596e+00 1.95266990e-02 1.95266990e-07
4.01471926e+00 1.95189532e-02 1.95189532e-07
4.00065202e+00 1.95082096e-02 1.95082096e-07
3.98663408e+00 1.95060188e-02 1.95060188e-07
3.97266525e+00 1.95110636e-02 1.95110636e-07
3.95874537e+00 1.94455096e-02 1.94455096e-07
3.94487427e+00 1.94844731e-02 1.94844731e-07
3.93105176e+00 1.94285997e-02 1.94285997e-07
3.91727769e+00 1.94821483e-02 1.94821483e-07
3.90355188e+00 1.94151866e-02 1.94151866e-07
3.88987417e+00 1.94681418e-02 1.94681418e-07
3.87624438e+00 1.94566300e-02 1.94566300e-07
3.86266235e+00 1.94642052e-02 1.94642052e-07
3.84912791e+00 1.95034204e-02 1.95034204e-07
3.83564090e+00 1.94907966e-02 1.94907966e-07
3.82220114e+00 1.94942623e-02 1.94942623e-07
3.80880847e+00 1.94617437e-02 1.94617437e-07
3.79546273e+00 1.94897539e-02 1.94897539e-07
3.78216375e+00 1.94911699e-02 1.94911699e-07
3.76891137e+00 1.95607432e-02 1.95607432e-07
3.75570543e+00 1.94995812e-02 1.94995812e-07
3.74254575e+00 1.95432905e-02 1.95432905e-07
3.72943219e+00 1.95755852e-02 1.95755852e-07
3.71636458e+00 1.95617513e-02 1.95617513e-07
3.70334275e+00 1.96211411e-02 1.96211411e-07
3.69036656e+00 1.96261183e-02 1.96261183e-07
3.67743583e+00 1.96585782e-02 1.96585782e-07
3.66455040e+00 1.96527990e-02 1.96527990e-07
3.65171013e+00 1.96576663e-02 1.96576663e-07
3.63891485e+00 1.96822484e-02 1.96822484e-07
3.62616440e+00 1.96562441e-02 1.96562441e-07
3.61345863e+00 1.96932996e-02 1.96932996e-07
3.60079738e+00 1.96927354e-02 1.96927354e-07
3.58818049e+00 1.96533226e-02 1.96533226e-07
3.57560781e+00 1.96515563e-02 1.96515563e-07
3.56307919e+00 1.96968352e-02 1.96968352e-07
3.55059446e+00 1.97266387e-02 1.97266387e-07
3.53815348e+00 1.96972506e-02 1.96972506e-07
3.52575609e+00 1.97414717e-02 1.97414717e-07
3.51340214e+00 1.97089982e-02 1.97089982e-07
3.50109148e+00 1.97485673e-02 1.97485673e-07
3.48882395e+00 1.97556584e-02 1.97556584e-07
3.47659941e+00 1.97673044e-02 1.97673044e-07
3.46441770e+00 1.97522577e-02 1.97522577e-07
3.45227868e+00 1.97644533e-02 1.97644533e-07
3.44018219e+00 1.97810844e-02 1.97810844e-07
3.42812808e+00 1.97753431e-02 1.97753431e-07
3.41611621e+00 1.98145769e-02 1.98145769e-07
3.40414643e+00 1.98031786e-02 1.98031786e-07
3.39221859e+00 1.98033491e-02 1.98033491e-07
3.38033255e+00 1.98352395e-02 1.98352395e-07
3.36848815e+00 1.98007804e-02 1.98007804e-07
3.35668526e+00 1.98492691e-02 1.98492691e-07
3.34492372e+00 1.98784572e-02 1.98784572e-07
3.33320339e+00 1.98332551e-02 1.98332551e-07
3.32152413e+00 1.98649928e-02 1.98649928e-07
3.30988579e+00 1.99016654e-02 1.99016654e-07
3.29828823e+00 1.98905855e-02 1.98905855e-07
3.28673131e+00 1.98539543e-02 1.98539543e-07
3.27521488e+00 1.98971096e-02 1.98971096e-07
3.26373881e+00 1.98672066e-02 1.98672066e-07
3.25230295e+00 1.98878413e-02 1.98878413e-07
3.24090715e+00 1.99155717e-02 1.99155717e-07
3.22955129e+00 1.98815989e-02 1.98815989e-07
3.21823522e+00 1.98969161e-02 1.98969161e-07
3.20695880e+00 1.99236998e-02 1.99236998e-07
3.19572188e+00 1.99473355e-02 1.99473355e-07
3.18452435e+00 1.99419508e-02 1.99419508e-07
3.17336604e+00 1.99297381e-02 1.99297381e-07
3.16224684e+00 1.99222873e-02 1.99222873e-07
3.15116660e+00 1.99517748e-02 1.99517748e-07
3.14012518e+00 1.99308638e-02 1.99308638e-07
3.12912245e+00 1.99426037e-02 1.99426037e-07
3.11815827e+00 1.99576168e-02 1.99576168e-07
3.10723251e+00 1.99531704e-02 1.99531704e-07
3.09634503e+00 1.99664814e-02 1.99664814e-07
3.08549570e+00 1.99296695e-02 1.99296695e-07
3.07468438e+00 1.99558411e-02 1.99558411e-07
3.06391095e+00 1.99516453e-02 1.99516453e-07
3.05317527e+00 1.99886874e-02 1.99886874e-07
3.04247720e+00 1.99758370e-02 1.99758370e-07
3.03181662e+00 1.99883686e-02 1.99883686e-07
3.02119339e+00 1.99958150e-02 1.99958150e-07
3.01060739e+00 2.00118978e-02 2.00118978e-07
3.00005848e+00 1.99633988e-02 1.99633988e-07
2.98954653e+00 2.00092696e-02 2.00092696e-07
2.97907141e+00 1.99783533e-02 1.99783533e-07
2.96863300e+00 1.99908009e-02 1.99908009e-07
2.95823116e+00 1.99837986e-02 1.99837986e-07
2.94786577e+00 1.99981630e-02 1.99981630e-07
2.93753670e+00 1.99815123e-02 1.99815123e-07
2.92724382e+00 1.99872567e-02 1.99872567e-07
2.91698701e+00 1.99760035e-02 1.99760035e-07
2.90676613e+00 1.99953895e-02 1.99953895e-07
2.89658107e+00 1.99673395e-02 1.99673395e-07
2.88643170e+00 1.99661832e-02 1.99661832e-07
2.87631789e+00 1.99504925e-02 1.99504925e-07
2.86623952e+00 1.99689282e-02 1.99689282e-07
2.85619646e+00 2.00033254e-02 2.00033254e-07
2.84618859e+00 1.99969559e-02 1.99969559e-07
2.83621578e+00 1.99867297e-02 1.99867297e-07
2.82627793e+00 1.99919380e-02 1.99919380e-07
2.81637489e+00 2.00137784e-02 2.00137784e-07
2.80650655e+00 1.99978274e-02 1.99978274e-07
2.79667279e+00 1.99825985e-02 1.99825985e-07
2.78687349e+00 1.99722379e-02 1.99722379e-07
2.77710852e+00 1.99718482e-02 1.99718482e-07
2.76737777e+00 2.00266568e-02 2.00266568e-07
2.75768111e+00 1.99749148e-02 1.99749148e-07
2.74801843e+00 1.99966110e-02 1.99966110e-07
2.73838961e+00 1.99653397e-02 1.99653397e-07
2.72879453e+00 1.99680171e-02 1.99680171e-07
2.71923306e+00 1.99500168e-02 1.99500168e-07
2.70970510e+00 1.99574465e-02 1.99574465e-07
2.70021052e+00 1.99407995e-02 1.99407995e-07
2.69074922e+00 1.99393655e-02 1.99393655e-07
2.68132106e+00 1.99401103e-02 1.99401103e-07
2.67192594e+00 1.99009725e-02 1.99009725e-07
2.66256374e+00 1.98910448e-02 1.98910448e-07
2.65323434e+00 1.98997018e-02 1.98997018e-07
2.64393763e+00 1.99262394e-02 1.99262394e-07
2.63467350e+00 1.98901604e-02 1.98901604e-07
2.62544183e+00 1.98963639e-02 1.98963639e-07
2.61624251e+00 1.99326811e-02 1.99326811e-07
2.60707541e+00 1.99138519e-02 1.99138519e-07
2.59794044e+00 1.98959234e-02 1.98959234e-07
2.58883748e+00 1.98854742e-02 1.98854742e-07
2.57976642e+00 1.98925698e-02 1.98925698e-07
2.57072713e+00 1.99124066e-02 1.99124066e-07
2.56171953e+00 1.99160993e-02 1.99160993e-07
2.55274348e+00 1.98652839e-02 1.98652839e-07
2.54379888e+00 1.98778406e-02 1.98778406e-07
2.53488563e+00 1.98616905e-02 1.98616905e-07
2.52600360e+00 1.98890318e-02 1.98890318e-07
2.51715270e+00 1.98844717e-02 1.98844717e-07
2.50833281e+00 1.98813863e-02 1.98813863e-07
2.49954383e+00 1.98271294e-02 1.98271294e-07
2.49078564e+00 1.98576959e-02 1.98576959e-07
2.48205814e+00 1.98376770e-02 1.98376770e-07
2.47336122e+00 1.98350985e-02 1.98350985e-07
2.46469477e+00 1.97745819e-02 1.97745819e-07
2.45605869e+00 1.97506540e-02 1.97506540e-07
2.44745287e+00 1.97351610e-02 1.97351610e-07
2.43887720e+00 1.96859651e-02 1.96859651e-07
2.43033159e+00 1.97444995e-02 1.97444995e-07
2.42181591e+00 1.95910524e-02 1.95910524e-07
2.41333007e+00 1.96639566e-02 1.96639566e-07
2.40487397e+00 1.96090680e-02 1.96090680e-07
2.39644750e+00 1.96447316e-02 1.96447316e-07
2.38805055e+00 1.94947608e-02 1.94947608e-07
2.37968302e+00 1.95753924e-02 1.95753924e-07
2.37134482e+00 1.95002925e-02 1.95002925e-07
2.36303583e+00 1.94939483e-02 1.94939483e-07
2.35475595e+00 1.95122959e-02 1.95122959e-07
2.34650509e+00 1.94128251e-02 1.94128251e-07
2.33828313e+00 1.94190873e-02 1.94190873e-07
2.33008999e+00 1.93858920e-02 1.93858920e-07
2.32192555e+00 1.93939788e-02 1.93939788e-07
2.31378972e+00 1.94219784e-02 1.94219784e-07
2.30568240e+00 1.93485012e-02 1.93485012e-07
2.29760348e+00 1.94242442e-02 1.94242442e-07
2.28955288e+00 1.93352247e-02 1.93352247e-07
2.28153048e+00 1.93846337e-02 1.93846337e-07
2.27353619e+00 1.93512053e-02 1.93512053e-07
2.26556991e+00 1.93334772e-02 1.93334772e-07
2.25763155e+00 1.93728538e-02 1.93728538e-07
2.24972100e+00 1.93823763e-02 1.93823763e-07
2.24183817e+00 1.93774237e-02 1.93774237e-07
2.23398296e+00 1.94109317e-02 1.94109317e-07
2.22615527e+00 1.93995823e-02 1.93995823e-07
2.21835501e+00 1.94484918e-02 1.94484918e-07
2.21058209e+00 1.94129634e-02 1.94129634e-07
2.20283639e+00 1.94596031e-02 1.94596031e-07
2.19511784e+00 1.94384346e-02 1.94384346e-07
2.18742634e+00 1.94731127e-02 1.94731127e-07
2.17976178e+00 1.94887281e-02 1.94887281e-07
2.17212408e+00 1.94976580e-02 1.94976580e-07
2.16451314e+00 1.95397267e-02 1.95397267e-07
2.15692887e+00 1.95412474e-02 1.95412474e-07
2.14937118e+00 1.96003007e-02 1.96003007e-07
2.14183996e+00 1.95822912e-02 1.95822912e-07
2.13433514e+00 1.95866233e-02 1.95866233e-07
2.12685661e+00 1.96247532e-02 1.96247532e-07
2.11940429e+00 1.96388366e-02 1.96388366e-07
2.11197807e+00 1.96440864e-02 1.96440864e-07
2.10457788e+00 1.96337799e-02 1.96337799e-07
2.09720362e+00 1.96873386e-02 1.96873386e-07
2.08985520e+00 1.97012971e-02 1.97012971e-07
2.08253252e+00 1.96791437e-02 1.96791437e-07
2.07523551e+00 1.97307932e-02 1.97307932e-07
2.06796406e+00 1.97063498e-02 1.97063498e-07
2.06071809e+00 1.97474244e-02 1.97474244e-07
2.05349751e+00 1.97456051e-02 1.97456051e-07
2.04630223e+00 1.96985849e-02 1.96985849e-07
2.03913216e+00 1.97765431e-02 1.97765431e-07
2.03198721e+00 1.97481489e-02 1.97481489e-07
2.02486730e+00 1.97259557e-02 1.97259557e-07
2.01777234e+00 1.97110080e-02 1.97110080e-07
2.01070224e+00 1.98003413e-02 1.98003413e-07
2.00365691e+00 1.97437189e-02 1.97437189e-07
1.99663626e+00 1.97552495e-02 1.97552495e-07
1.98964022e+00 1.96851862e-02 1.96851862e-07
1.98266869e+00 1.98039620e-02 1.98039620e-07
1.97572159e+00 1.97218693e-02 1.97218693e-07
1.96879883e+00 1.97053112e-02 1.97053112e-07
1.96190033e+00 1.96811373e-02 1.96811373e-07
1.95502599e+00 1.97438042e-02 1.97438042e-07
1.94817575e+00 1.97386392e-02 1.97386392e-07
1.94134951e+00 1.97013992e-02 1.97013992e-07
1.93454718e+00 1.97095318e-02 1.97095318e-07
1.92776869e+00 1.97172366e-02 1.97172366e-07
1.92101396e+00 1.97177380e-02 1.97177380e-07
1.91428289e+00 1.97124721e-02 1.97124721e-07
1.90757540e+00 1.97242171e-02 1.97242171e-07
1.90089142e+00 1.97264565e-02 1.97264565e-07
1.89423086e+00 1.97148369e-02 1.97148369e-07
1.88759364e+00 1.97892695e-02 1.97892695e-07
