# wavelength[µm] (rp/rs)^2 error
4.75145404e+00 3.90909531e-04 3.90909531e-09
4.73480535e+00 3.90909531e-04 3.90909531e-09
4.71821499e+00 3.90909531e-04 3.90909531e-09
4.70168277e+00 3.90909531e-04 3.90909531e-09
4.68520847e+00 3.90909531e-04 3.90909531e-09
4.66879190e+00 3.90909531e-04 3.90909531e-09
4.65243285e+00 3.90909531e-04 3.90909531e-09
4.63613112e+00 3.90909531e-04 3.90909531e-09
4.61988651e+00 3.90909531e-04 3.90909531e-09
4.60369882e+00 3.90909531e-04 3.90909531e-09
4.58756786e+00 3.90909531e-04 3.90909531e-09
4.57149341e+00 3.90909531e-04 3.90909531e-09
4.55547528e+00 3.90909531e-04 3.90909531e-09
4.53951329e+00 3.90909531e-04 3.90909531e-09
4.52360722e+00 3.90909531e-04 3.90909531e-09
4.50775688e+00 3.90909531e-04 3.90909531e-09
4.49196209e+00 3.90909531e-04 3.90909531e-09
4.47622264e+00 3.90909531e-04 3.90909531e-09
4.46053833e+00 3.90909531e-04 3.90909531e-09
4.44490899e+00 3.90909531e-04 3.90909531e-09
4.42933440e+00 3.90909531e-04 3.90909531e-09
4.41381439e+00 3.90909531e-04 3.90909531e-09
4.39834876e+00 3.90909531e-04 3.90909531e-09
4.38293732e+00 3.90909531e-04 3.90909531e-09
4.36757988e+00 3.90909531e-04 3.90909531e-09
4.35227625e+00 3.90909531e-04 3.90909531e-09
4.33702625e+00 3.90909531e-04 3.90909531e-09
4.32182968e+00 3.90909531e-04 3.90909531e-09
4.30668636e+00 3.90909531e-04 3.90909531e-09
4.29159609e+00 3.90909530e-04 3.90909530e-09
4.27655871e+00 3.90876246e-04 3.90876246e-09
4.26157401e+00 3.90723369e-04 3.90723369e-09
4.24664182e+00 3.90327965e-04 3.90327965e-09
4.23176194e+00 3.86704448e-04 3.86704448e-09
4.21693421e+00 3.85379952e-04 3.85379952e-09
4.20215843e+00 3.80218973e-04 3.80218973e-09
4.18743443e+00 3.72415343e-04 3.72415343e-09
4.17276201e+00 3.66952372e-04 3.66952372e-09
4.15814101e+00 3.63085461e-04 3.63085461e-09
4.14357124e+00 3.61410877e-04 3.61410877e-09
4.12905252e+00 3.61586928e-04 3.61586928e-09
4.11458467e+00 3.59298680e-04 3.59298680e-09
4.10016751e+00 3.58104655e-04 3.58104655e-09
4.08580088e+00 3.57188958e-04 3.57188958e-09
4.07148458e+00 3.55830751e-04 3.55830751e-09
4.05721844e+00 3.55139444e-04 3.55139444e-09
4.04300229e+00 3.53231872e-04 3.53231872e-09
4.02883596e+00 3.50868376e-04 3.50868376e-09
4.01471926e+00 3.49259206e-04 3.49259206e-09
4.00065202e+00 3.48039170e-04 3.48039170e-09
3.98663408e+00 3.46752839e-04 3.46752839e-09
3.97266525e+00 3.46482358e-04 3.46482358e-09
3.95874537e+00 3.43995227e-04 3.43995227e-09
3.94487427e+00 3.44214267e-04 3.44214267e-09
3.93105176e+00 3.42123455e-04 3.42123455e-09
3.91727769e+00 3.42005275e-04 3.42005275e-09
3.90355188e+00 3.39988695e-04 3.39988695e-09
3.88987417e+00 3.40318475e-04 3.40318475e-09
3.87624438e+00 3.39784372e-04 3.39784372e-09
3.86266235e+00 3.38935227e-04 3.38935227e-09
3.84912791e+00 3.39490036e-04 3.39490036e-09
3.83564090e+00 3.39065586e-04 3.39065586e-09
3.82220114e+00 3.39103441e-04 3.39103441e-09
3.80880847e+00 3.38001491e-04 3.38001491e-09
3.79546273e+00 3.38257042e-04 3.38257042e-09
3.78216375e+00 3.38189678e-04 3.38189678e-09
3.76891137e+00 3.40105770e-04 3.40105770e-09
3.75570543e+00 3.37973746e-04 3.37973746e-09
3.74254575e+00 3.39276363e-04 3.39276363e-09
3.72943219e+00 3.39925884e-04 3.39925884e-09
3.71636458e+00 3.39338940e-04 3.39338940e-09
3.70334275e+00 3.41332247e-04 3.41332247e-09
3.69036656e+00 3.41300074e-04 3.41300074e-09
3.67743583e+00 3.41835618e-04 3.41835618e-09
3.66455040e+00 3.42253395e-04 3.42253395e-09
3.65171013e+00 3.42463022e-04 3.42463022e-09
3.63891485e+00 3.43840721e-04 3.43840721e-09
3.62616440e+00 3.43135807e-04 3.43135807e-09
3.61345863e+00 3.44523676e-04 3.44523676e-09
3.60079738e+00 3.44619257e-04 3.44619257e-09
3.58818049e+00 3.43447581e-04 3.43447581e-09
3.57560781e+00 3.43782629e-04 3.43782629e-09
3.56307919e+00 3.44879233e-04 3.44879233e-09
3.55059446e+00 3.46208783e-04 3.46208783e-09
3.53815348e+00 3.45154100e-04 3.45154100e-09
3.52575609e+00 3.47193068e-04 3.47193068e-09
3.51340214e+00 3.46420839e-04 3.46420839e-09
3.50109148e+00 3.47603468e-04 3.47603468e-09
3.48882395e+00 3.48096993e-04 3.48096993e-09
3.47659941e+00 3.48848865e-04 3.48848865e-09
3.46441770e+00 3.48854354e-04 3.48854354e-09
3.45227868e+00 3.49529566e-04 3.49529566e-09
3.44018219e+00 3.50323682e-04 3.50323682e-09
3.42812808e+00 3.50541826e-04 3.50541826e-09
3.41611621e+00 3.51466718e-04 3.51466718e-09
3.40414643e+00 3.51141126e-04 3.51141126e-09
3.39221859e+00 3.51829339e-04 3.51829339e-09
3.38033255e+00 3.52444542e-04 3.52444542e-09
3.36848815e+00 3.52339921e-04 3.52339921e-09
3.35668526e+00 3.53810228e-04 3.53810228e-09
3.34492372e+00 3.55171194e-04 3.55171194e-09
3.33320339e+00 3.54004894e-04 3.54004894e-09
3.32152413e+00 3.55632955e-04 3.55632955e-09
3.30988579e+00 3.57004432e-04 3.57004432e-09
3.29828823e+00 3.56352379e-04 3.56352379e-09
3.28673131e+00 3.55499769e-04 3.55499769e-09
3.27521488e+00 3.57630040e-04 3.57630040e-09
3.26373881e+00 3.56992011e-04 3.56992011e-09
3.25230295e+00 3.58671470e-04 3.58671470e-09
3.24090715e+00 3.62220295e-04 3.62220295e-09
3.22955129e+00 3.63465762e-04 3.63465762e-09
3.21823522e+00 3.66197392e-04 3.66197392e-09
3.20695880e+00 3.69139797e-04 3.69139797e-09
3.19572188e+00 3.71400117e-04 3.71400117e-09
3.18452435e+00 3.73215957e-04 3.73215957e-09
