# wavelength[µm] (rp/rs)^2
6.459668186920968225e+00 1.656466510997738756e-02
6.437373512461418201e+00 1.653809842398229479e-02
6.415155785067081062e+00 1.654167832114760220e-02
6.393014739165535865e+00 1.646385954223128847e-02
6.370950110100936925e+00 1.645632574673348489e-02
6.348961634130863452e+00 1.647470407067257864e-02
6.327049048423177169e+00 1.644706568972046160e-02
6.305212091052854184e+00 1.645679373773922469e-02
6.283450500998885246e+00 1.642247826761504895e-02
6.261764018141126265e+00 1.649760272213498039e-02
6.240152383257207447e+00 1.645415694041589896e-02
6.218615338019437111e+00 1.646071167417568343e-02
6.197152624991693060e+00 1.644394400337770637e-02
6.175763987626375240e+00 1.650931100611557900e-02
6.154449170261309554e+00 1.649061759596345475e-02
6.133207918116708512e+00 1.644344582082042996e-02
6.112039977292130999e+00 1.655117966258435810e-02
6.090945094763426937e+00 1.647447515507267576e-02
6.069923018379737023e+00 1.646820430134288832e-02
6.048973496860457821e+00 1.654456965529289489e-02
6.028096279792245937e+00 1.653434284543981239e-02
6.007291117626036403e+00 1.641136054204354530e-02
5.986557761674037081e+00 1.653688615395480788e-02
5.965895964106779026e+00 1.652770831740097562e-02
5.945305477950135753e+00 1.653094264224349436e-02
5.924786057082378044e+00 1.646369081463676040e-02
5.904337456231241177e+00 1.654303961099000062e-02
5.883959430970973514e+00 1.654307172050609870e-02
5.863651737719436596e+00 1.651644126634370380e-02
5.843414133735176819e+00 1.657806663447383699e-02
5.823246377114526418e+00 1.657121485281899675e-02
5.803148226788726660e+00 1.654232744324548796e-02
5.783119442521022613e+00 1.658805808451313535e-02
5.763159784903816529e+00 1.657250234242415091e-02
5.743269015355783935e+00 1.650158328502020211e-02
5.723446896119032345e+00 1.656099004143406911e-02
5.703693190256267975e+00 1.649517606935134786e-02
5.684007661647940246e+00 1.659980295251927557e-02
5.664390074989447577e+00 1.653887657811637865e-02
5.644840195788300541e+00 1.653042170319880128e-02
5.625357790361329435e+00 1.655292048011756251e-02
5.605942625831898063e+00 1.656684592032031667e-02
5.586594470127103307e+00 1.658907868240810241e-02
5.567313091975020001e+00 1.655073726965435379e-02
5.548098260901918266e+00 1.658832689317341763e-02
5.528949747229518152e+00 1.658413093473175975e-02
5.509867322072252271e+00 1.661120865398441754e-02
5.490850757334507115e+00 1.652016979792855431e-02
5.471899825707924769e+00 1.657900996871634891e-02
5.453014300668661996e+00 1.654919504514777706e-02
5.434193956474691056e+00 1.652630083012672849e-02
5.415438568163111199e+00 1.661816684236251673e-02
5.396747911547441490e+00 1.655255222822596753e-02
5.378121763214958939e+00 1.647312931004453126e-02
5.359559900524012654e+00 1.654440477610161220e-02
5.341062101601369072e+00 1.652487919445501732e-02
5.322628145339569627e+00 1.650443404565851702e-02
5.304257811394263555e+00 1.650975571844967571e-02
5.285950880181605527e+00 1.656325942372444474e-02
5.267707132875600884e+00 1.645117629720330155e-02
5.249526351405506830e+00 1.653234081637717026e-02
5.231408318453228290e+00 1.651201036419615298e-02
5.213352817450705778e+00 1.647722200989002253e-02
5.195359632577344122e+00 1.648454361826837480e-02
5.177428548757416316e+00 1.641780351121142206e-02
5.159559351657501125e+00 1.641275316161805442e-02
5.141751827683926912e+00 1.648022757379777326e-02
5.124005763980201245e+00 1.650222438725343702e-02
5.106320948424489359e+00 1.645326853659584074e-02
5.088697169627057093e+00 1.647339721907512336e-02
5.071134216927753791e+00 1.645833382378632595e-02
5.053631880393502307e+00 1.644448784239908520e-02
5.036189950815769478e+00 1.643345688995832138e-02
5.018808219708088991e+00 1.647963936341349800e-02
5.001486479303549615e+00 1.641668636119047661e-02
4.984224522552318959e+00 1.643673234602915229e-02
4.967022143119177002e+00 1.638713330408160876e-02
4.949879135381031858e+00 1.644835069955012663e-02
4.932795294424482613e+00 1.642000809767477087e-02
4.915770416043351076e+00 1.636239542126828247e-02
4.898804296736249064e+00 1.646814213582804831e-02
4.881896733704154556e+00 1.638939622482443736e-02
4.865047524847968319e+00 1.637632096034795717e-02
4.848256468766119376e+00 1.638230213326357862e-02
4.831523364752136729e+00 1.645773452912434667e-02
4.814848012792269927e+00 1.642832170088862412e-02
4.798230213563083879e+00 1.638624517498266445e-02
4.781669768429078538e+00 1.644142715451453809e-02
4.765166479440327230e+00 1.640376742718618192e-02
4.748720149330090123e+00 1.642096701343355794e-02
4.732330581512477430e+00 1.643023931559154521e-02
4.715997580080079743e+00 1.643980869357367092e-02
4.699720949801637460e+00 1.646058537403007754e-02
4.683500496119711975e+00 1.647083243830715915e-02
4.667336025148345335e+00 1.648690360858613355e-02
4.651227343670758074e+00 1.649037627430001082e-02
4.635174259137026631e+00 1.653831876381998967e-02
4.619176579661787407e+00 1.654857772200525948e-02
4.603234114021949708e+00 1.654323530347559523e-02
4.587346671654395358e+00 1.651606780523518989e-02
4.571514062653718291e+00 1.659531243833781144e-02
4.555736097769936599e+00 1.655621501171099241e-02
4.540012588406241001e+00 1.660346961766114016e-02
4.524343346616745087e+00 1.660953793723832575e-02
4.508728185104224018e+00 1.663503911800967919e-02
4.493166917217891410e+00 1.662723596814836072e-02
4.477659356951154912e+00 1.671834800397736451e-02
4.462205318939400200e+00 1.662788906441260706e-02
4.446804618457779412e+00 1.669328471505683240e-02
4.431457071418988036e+00 1.670487102025874915e-02
4.416162494371083547e+00 1.668427026834551699e-02
4.400920704495277391e+00 1.670650594993700402e-02
4.385731519603754514e+00 1.666316623154543222e-02
4.370594758137503533e+00 1.668630395489784438e-02
4.355510239164130049e+00 1.665924352815937801e-02
4.340477782375712579e+00 1.671304607367899570e-02
4.325497208086632739e+00 1.663162975639347410e-02
4.310568337231430291e+00 1.669482996257157237e-02
4.295690991362675071e+00 1.667716144673133186e-02
4.280864992648813150e+00 1.663244372602271093e-02
4.266090163872060970e+00 1.660646208419197176e-02
4.251366328426272823e+00 1.656096713326311518e-02
4.236693310314834982e+00 1.652275951829438802e-02
4.222070934148567822e+00 1.644404879943521525e-02
4.207499025143618177e+00 1.634967065019811427e-02
4.192977409119380106e+00 1.627447669785551942e-02
4.178505912496405017e+00 1.624174088228723042e-02
4.164084362294330433e+00 1.620556894495383746e-02
4.149712586129816749e+00 1.616147664378006499e-02
4.135390412214476008e+00 1.615466923909717606e-02
4.121117669352831747e+00 1.615762266095235530e-02
4.106894186940259317e+00 1.617272930548750362e-02
4.092719794960954616e+00 1.618967316504676957e-02
4.078594323985903713e+00 1.620115757042813603e-02
4.064517605170847148e+00 1.614668847123172310e-02
4.050489470254278856e+00 1.613665663932624048e-02
4.036509751555414915e+00 1.614233497370386183e-02
4.022578281972201353e+00 1.614461874806271888e-02
4.008694894979320189e+00 1.613591445920019296e-02
3.994859424626184374e+00 1.613660138337004793e-02
3.981071705534972249e+00 1.616166280083776094e-02
3.967331572898633141e+00 1.614979474698824760e-02
3.953638862478929816e+00 1.615080536036538755e-02
3.939993410604472501e+00 1.614093639476272407e-02
3.926395054168756449e+00 1.614712690725205943e-02
3.912843630628221270e+00 1.616893051358313585e-02
3.899338978000302269e+00 1.616469409218734485e-02
3.885880934861495994e+00 1.620412408493342171e-02
3.872469340345429778e+00 1.619604051484621263e-02
3.859104034140941497e+00 1.621624791723155073e-02
3.845784856490157555e+00 1.623253176333586123e-02
3.832511648186592179e+00 1.625241443530220375e-02
3.819284250573234285e+00 1.625471644501853136e-02
3.806102505540659653e+00 1.627813535312648552e-02
3.792966255525137775e+00 1.629257358088954943e-02
3.779875343506744478e+00 1.630380103309205658e-02
3.766829613007490973e+00 1.633100349408157445e-02
3.753828908089452021e+00 1.634000339914428584e-02
3.740873073352900313e+00 1.636502254101415352e-02
3.727961953934450179e+00 1.639083812388857780e-02
3.715095395505203513e+00 1.639302521480049193e-02
3.702273244268911245e+00 1.643322564314409970e-02
3.689495346960128597e+00 1.644266306509192810e-02
3.676761550842388093e+00 1.645719048992704686e-02
3.664071703706370364e+00 1.648198452951460391e-02
3.651425653868084709e+00 1.649761625276423976e-02
3.638823250167060319e+00 1.651563333080512119e-02
3.626264341964533511e+00 1.652205214257464541e-02
3.613748779141651823e+00 1.653689944414618584e-02
3.601276412097677682e+00 1.655563781608655402e-02
3.588847091748198714e+00 1.657019438906670236e-02
3.576460669523348734e+00 1.658089063992286907e-02
3.564116997366029604e+00 1.659105167562732741e-02
3.551815927730143763e+00 1.660129529927495753e-02
3.539557313578828968e+00 1.659307878393013330e-02
3.527341008382697485e+00 1.659752047128182709e-02
3.515166866118092592e+00 1.659642899516369438e-02
3.503034741265336205e+00 1.659795054773520462e-02
3.490944488806991153e+00 1.660685158685014373e-02
3.478895964226131898e+00 1.661543085560986815e-02
3.466889023504608147e+00 1.659989016828533268e-02
3.454923523121333773e+00 1.662881713789057109e-02
3.442999320050563750e+00 1.664588022705482465e-02
3.431116271760187963e+00 1.665417820670304916e-02
3.419274236210027684e+00 1.664742974882125331e-02
3.407473071850133373e+00 1.663270599590349272e-02
3.395712637619098917e+00 1.664197629863298222e-02
3.383992792942372763e+00 1.667006117108150304e-02
3.372313397730576146e+00 1.672341734229414525e-02
3.360674312377830653e+00 1.680445152436335285e-02
3.349075397760089334e+00 1.686906752707878834e-02
3.337516515233470482e+00 1.687563136940177164e-02
3.325997526632606061e+00 1.683568273883915417e-02
3.314518294268986143e+00 1.674862813904275105e-02
3.303078680929314448e+00 1.667686371386644176e-02
3.291678549873867432e+00 1.663867825474549950e-02
3.280317764834859595e+00 1.665827474417132595e-02
3.268996190014816339e+00 1.664615459728946770e-02
3.257713690084949931e+00 1.666154995710215567e-02
3.246470130183541247e+00 1.666204747307587983e-02
3.235265375914329500e+00 1.671349704785174764e-02
3.224099293344901085e+00 1.669142961408318429e-02
3.212971749005095301e+00 1.670987261679832483e-02
3.201882609885404740e+00 1.675844643678290821e-02
3.190831743435386336e+00 1.674166097924506894e-02
3.179819017562078187e+00 1.675829864656461221e-02
3.168844300628416377e+00 1.674357131696552550e-02
3.157907461451666897e+00 1.677730416120102111e-02
