# wavelength[µm] (rp/rs)^2 error
5.50619344e+00 3.90303808e-04 3.90303808e-09
5.48690021e+00 3.88713955e-04 3.88713955e-09
5.46767458e+00 3.89474261e-04 3.89474261e-09
5.44851631e+00 3.87964410e-04 3.87964410e-09
5.42942517e+00 3.88985200e-04 3.88985200e-09
5.41040093e+00 3.91188322e-04 3.91188322e-09
5.39144335e+00 3.89014763e-04 3.89014763e-09
5.37255219e+00 3.86182377e-04 3.86182377e-09
5.35372722e+00 3.89563145e-04 3.89563145e-09
5.33496822e+00 3.88456663e-04 3.88456663e-09
5.31627494e+00 3.90106267e-04 3.90106267e-09
5.29764717e+00 3.88538864e-04 3.88538864e-09
5.27908466e+00 3.88984423e-04 3.88984423e-09
5.26058720e+00 3.88651613e-04 3.88651613e-09
5.24215455e+00 3.89340360e-04 3.89340360e-09
5.22378649e+00 3.89089204e-04 3.89089204e-09
5.20548278e+00 3.89718479e-04 3.89718479e-09
5.18724321e+00 3.86484856e-04 3.86484856e-09
5.16906756e+00 3.88165042e-04 3.88165042e-09
5.15095558e+00 3.85380588e-04 3.85380588e-09
5.13290707e+00 3.85276325e-04 3.85276325e-09
5.11492180e+00 3.89157012e-04 3.89157012e-09
5.09699955e+00 3.85900728e-04 3.85900728e-09
5.07914010e+00 3.85962877e-04 3.85962877e-09
5.06134323e+00 3.86557516e-04 3.86557516e-09
5.04360871e+00 3.82526997e-04 3.82526997e-09
5.02593633e+00 3.87571985e-04 3.87571985e-09
5.00832588e+00 3.84817511e-04 3.84817511e-09
4.99077713e+00 3.86342529e-04 3.86342529e-09
4.97328988e+00 3.85069733e-04 3.85069733e-09
4.95586389e+00 3.85655530e-04 3.85655530e-09
4.93849897e+00 3.86736345e-04 3.86736345e-09
4.92119489e+00 3.83886135e-04 3.83886135e-09
4.90395144e+00 3.85768251e-04 3.85768251e-09
4.88676841e+00 3.82238348e-04 3.82238348e-09
4.86964559e+00 3.85466674e-04 3.85466674e-09
4.85258277e+00 3.82523334e-04 3.82523334e-09
4.83557973e+00 3.85881649e-04 3.85881649e-09
4.81863627e+00 3.86459336e-04 3.86459336e-09
4.80175218e+00 3.83085819e-04 3.83085819e-09
4.78492725e+00 3.85527480e-04 3.85527480e-09
4.76816127e+00 3.84451900e-04 3.84451900e-09
4.75145404e+00 3.84822279e-04 3.84822279e-09
4.73480535e+00 3.84075210e-04 3.84075210e-09
4.71821499e+00 3.82929544e-04 3.82929544e-09
4.70168277e+00 3.84914217e-04 3.84914217e-09
4.68520847e+00 3.82662340e-04 3.82662340e-09
4.66879190e+00 3.83251502e-04 3.83251502e-09
4.65243285e+00 3.84245322e-04 3.84245322e-09
4.63613112e+00 3.83934832e-04 3.83934832e-09
4.61988651e+00 3.85265303e-04 3.85265303e-09
4.60369882e+00 3.82285268e-04 3.82285268e-09
4.58756786e+00 3.79869226e-04 3.79869226e-09
4.57149341e+00 3.83031841e-04 3.83031841e-09
4.55547528e+00 3.82221711e-04 3.82221711e-09
4.53951329e+00 3.81578280e-04 3.81578280e-09
4.52360722e+00 3.82002193e-04 3.82002193e-09
4.50775688e+00 3.83125457e-04 3.83125457e-09
4.49196209e+00 3.82734128e-04 3.82734128e-09
4.47622264e+00 3.84966515e-04 3.84966515e-09
4.46053833e+00 3.82526620e-04 3.82526620e-09
4.44490899e+00 3.83902543e-04 3.83902543e-09
4.42933440e+00 3.84935472e-04 3.84935472e-09
4.41381439e+00 3.82165220e-04 3.82165220e-09
4.39834876e+00 3.83196288e-04 3.83196288e-09
4.38293732e+00 3.83190313e-04 3.83190313e-09
4.36757988e+00 3.82840828e-04 3.82840828e-09
4.35227625e+00 3.82109421e-04 3.82109421e-09
4.33702625e+00 3.81830641e-04 3.81830641e-09
4.32182968e+00 3.82113755e-04 3.82113755e-09
4.30668636e+00 3.83073358e-04 3.83073358e-09
4.29159609e+00 3.82325409e-04 3.82325409e-09
4.27655871e+00 3.81084113e-04 3.81084113e-09
4.26157401e+00 3.80361490e-04 3.80361490e-09
4.24664182e+00 3.82152484e-04 3.82152484e-09
4.23176194e+00 3.77918286e-04 3.77918286e-09
4.21693421e+00 3.80783387e-04 3.80783387e-09
4.20215843e+00 3.76422518e-04 3.76422518e-09
4.18743443e+00 3.75836869e-04 3.75836869e-09
4.17276201e+00 3.76050705e-04 3.76050705e-09
4.15814101e+00 3.75583964e-04 3.75583964e-09
4.14357124e+00 3.72559911e-04 3.72559911e-09
4.12905252e+00 3.73152260e-04 3.73152260e-09
4.11458467e+00 3.73857881e-04 3.73857881e-09
4.10016751e+00 3.72313543e-04 3.72313543e-09
4.08580088e+00 3.75014681e-04 3.75014681e-09
4.07148458e+00 3.71296178e-04 3.71296178e-09
4.05721844e+00 3.71214622e-04 3.71214622e-09
4.04300229e+00 3.69904191e-04 3.69904191e-09
4.02883596e+00 3.69559788e-04 3.69559788e-09
4.01471926e+00 3.69142753e-04 3.69142753e-09
4.00065202e+00 3.68726882e-04 3.68726882e-09
3.98663408e+00 3.68459565e-04 3.68459565e-09
3.97266525e+00 3.68975698e-04 3.68975698e-09
3.95874537e+00 3.66126702e-04 3.66126702e-09
3.94487427e+00 3.67794290e-04 3.67794290e-09
3.93105176e+00 3.65593654e-04 3.65593654e-09
3.91727769e+00 3.67563290e-04 3.67563290e-09
3.90355188e+00 3.64846408e-04 3.64846408e-09
3.88987417e+00 3.67134523e-04 3.67134523e-09
3.87624438e+00 3.66850251e-04 3.66850251e-09
3.86266235e+00 3.66980663e-04 3.66980663e-09
3.84912791e+00 3.68544802e-04 3.68544802e-09
3.83564090e+00 3.68090717e-04 3.68090717e-09
3.82220114e+00 3.68367380e-04 3.68367380e-09
3.80880847e+00 3.67058692e-04 3.67058692e-09
3.79546273e+00 3.68187951e-04 3.68187951e-09
3.78216375e+00 3.68156874e-04 3.68156874e-09
3.76891137e+00 3.71270082e-04 3.71270082e-09
3.75570543e+00 3.68432942e-04 3.68432942e-09
3.74254575e+00 3.70344716e-04 3.70344716e-09
3.72943219e+00 3.71515509e-04 3.71515509e-09
3.71636458e+00 3.70835915e-04 3.70835915e-09
3.70334275e+00 3.73433595e-04 3.73433595e-09
3.69036656e+00 3.73520581e-04 3.73520581e-09
3.67743583e+00 3.74807839e-04 3.74807839e-09
3.66455040e+00 3.74722789e-04 3.74722789e-09
3.65171013e+00 3.74858284e-04 3.74858284e-09
3.63891485e+00 3.76118108e-04 3.76118108e-09
3.62616440e+00 3.74977459e-04 3.74977459e-09
3.61345863e+00 3.76640621e-04 3.76640621e-09
3.60079738e+00 3.76636460e-04 3.76636460e-09
3.58818049e+00 3.74896122e-04 3.74896122e-09
3.57560781e+00 3.74908132e-04 3.74908132e-09
3.56307919e+00 3.76773434e-04 3.76773434e-09
3.55059446e+00 3.78136632e-04 3.78136632e-09
3.53815348e+00 3.76703168e-04 3.76703168e-09
3.52575609e+00 3.78880963e-04 3.78880963e-09
3.51340214e+00 3.77399053e-04 3.77399053e-09
3.50109148e+00 3.79117686e-04 3.79117686e-09
3.48882395e+00 3.79367971e-04 3.79367971e-09
3.47659941e+00 3.80015982e-04 3.80015982e-09
3.46441770e+00 3.79394984e-04 3.79394984e-09
3.45227868e+00 3.79944360e-04 3.79944360e-09
3.44018219e+00 3.80681786e-04 3.80681786e-09
3.42812808e+00 3.80505772e-04 3.80505772e-09
3.41611621e+00 3.82120436e-04 3.82120436e-09
3.40414643e+00 3.81571145e-04 3.81571145e-09
3.39221859e+00 3.81733540e-04 3.81733540e-09
3.38033255e+00 3.83107229e-04 3.83107229e-09
3.36848815e+00 3.81605274e-04 3.81605274e-09
3.35668526e+00 3.83917376e-04 3.83917376e-09
3.34492372e+00 3.85423554e-04 3.85423554e-09
3.33320339e+00 3.83196551e-04 3.83196551e-09
3.32152413e+00 3.84949185e-04 3.84949185e-09
3.30988579e+00 3.86827017e-04 3.86827017e-09
3.29828823e+00 3.86051426e-04 3.86051426e-09
3.28673131e+00 3.84264370e-04 3.84264370e-09
3.27521488e+00 3.86587059e-04 3.86587059e-09
3.26373881e+00 3.84814994e-04 3.84814994e-09
3.25230295e+00 3.85851590e-04 3.85851590e-09
3.24090715e+00 3.87707491e-04 3.87707491e-09
3.22955129e+00 3.85736144e-04 3.85736144e-09
3.21823522e+00 3.86443542e-04 3.86443542e-09
3.20695880e+00 3.88176858e-04 3.88176858e-09
3.19572188e+00 3.89378095e-04 3.89378095e-09
3.18452435e+00 3.89232879e-04 3.89232879e-09
3.17336604e+00 3.88412561e-04 3.88412561e-09
3.16224684e+00 3.87937691e-04 3.87937691e-09
3.15116660e+00 3.89875229e-04 3.89875229e-09
3.14012518e+00 3.88503548e-04 3.88503548e-09
3.12912245e+00 3.89341411e-04 3.89341411e-09
3.11815827e+00 3.90097219e-04 3.90097219e-09
3.10723251e+00 3.89777157e-04 3.89777157e-09
3.09634503e+00 3.90874783e-04 3.90874783e-09
3.08549570e+00 3.88908916e-04 3.88908916e-09
3.07468438e+00 3.90206620e-04 3.90206620e-09
3.06391095e+00 3.89694879e-04 3.89694879e-09
3.05317527e+00 3.91764080e-04 3.91764080e-09
3.04247720e+00 3.90969778e-04 3.90969778e-09
3.03181662e+00 3.92094544e-04 3.92094544e-09
3.02119339e+00 3.92424573e-04 3.92424573e-09
3.01060739e+00 3.93367546e-04 3.93367546e-09
3.00005848e+00 3.90057602e-04 3.90057602e-09
2.98954653e+00 3.93180388e-04 3.93180388e-09
2.97907141e+00 3.91144539e-04 3.91144539e-09
2.96863300e+00 3.91768111e-04 3.91768111e-09
2.95823116e+00 3.91097251e-04 3.91097251e-09
2.94786577e+00 3.92134897e-04 3.92134897e-09
2.93753670e+00 3.90951409e-04 3.90951409e-09
2.92724382e+00 3.91217862e-04 3.91217862e-09
2.91698701e+00 3.90323519e-04 3.90323519e-09
2.90676613e+00 3.92362723e-04 3.92362723e-09
2.89658107e+00 3.89733419e-04 3.89733419e-09
2.88643170e+00 3.90042051e-04 3.90042051e-09
2.87631789e+00 3.88044145e-04 3.88044145e-09
2.86623952e+00 3.88974286e-04 3.88974286e-09
2.85619646e+00 3.91969913e-04 3.91969913e-09
2.84618859e+00 3.91256730e-04 3.91256730e-09
2.83621578e+00 3.90881734e-04 3.90881734e-09
2.82627793e+00 3.91231371e-04 3.91231371e-09
2.81637489e+00 3.92550173e-04 3.92550173e-09
2.80650655e+00 3.91500068e-04 3.91500068e-09
2.79667279e+00 3.89929283e-04 3.89929283e-09
2.78687349e+00 3.89093361e-04 3.89093361e-09
2.77710852e+00 3.89016628e-04 3.89016628e-09
2.76737777e+00 3.93396890e-04 3.93396890e-09
2.75768111e+00 3.88391878e-04 3.88391878e-09
2.74801843e+00 3.91362748e-04 3.91362748e-09
2.73838961e+00 3.88354861e-04 3.88354861e-09
2.72879453e+00 3.88542740e-04 3.88542740e-09
2.71923306e+00 3.87092970e-04 3.87092970e-09
2.70970510e+00 3.87127757e-04 3.87127757e-09
2.70021052e+00 3.86296053e-04 3.86296053e-09
2.69074922e+00 3.86653519e-04 3.86653519e-09
2.68132106e+00 3.87478697e-04 3.87478697e-09
2.67192594e+00 3.84663591e-04 3.84663591e-09
2.66256374e+00 3.84664053e-04 3.84664053e-09
2.65323434e+00 3.85939465e-04 3.85939465e-09
2.64393763e+00 3.88855975e-04 3.88855975e-09
2.63467350e+00 3.86894748e-04 3.86894748e-09
2.62544183e+00 3.86942054e-04 3.86942054e-09
2.61624251e+00 3.89385492e-04 3.89385492e-09
2.60707541e+00 3.88123630e-04 3.88123630e-09
2.59794044e+00 3.88138647e-04 3.88138647e-09
2.58883748e+00 3.86924237e-04 3.86924237e-09
2.57976642e+00 3.88184973e-04 3.88184973e-09
2.57072713e+00 3.88086065e-04 3.88086065e-09
2.56171953e+00 3.88823859e-04 3.88823859e-09
2.55274348e+00 3.86184954e-04 3.86184954e-09
2.54379888e+00 3.86420803e-04 3.86420803e-09
2.53488563e+00 3.85963905e-04 3.85963905e-09
2.52600360e+00 3.88554980e-04 3.88554980e-09
2.51715270e+00 3.87013290e-04 3.87013290e-09
2.50833281e+00 3.87495744e-04 3.87495744e-09
2.49954383e+00 3.85032958e-04 3.85032958e-09
2.49078564e+00 3.86440698e-04 3.86440698e-09
2.48205814e+00 3.85970886e-04 3.85970886e-09
2.47336122e+00 3.85585668e-04 3.85585668e-09
2.46469477e+00 3.82600191e-04 3.82600191e-09
2.45605869e+00 3.82593635e-04 3.82593635e-09
2.44745287e+00 3.81095879e-04 3.81095879e-09
2.43887720e+00 3.78032617e-04 3.78032617e-09
2.43033159e+00 3.80812275e-04 3.80812275e-09
2.42181591e+00 3.75298198e-04 3.75298198e-09
2.41333007e+00 3.79174321e-04 3.79174321e-09
2.40487397e+00 3.74125580e-04 3.74125580e-09
2.39644750e+00 3.76642132e-04 3.76642132e-09
2.38805055e+00 3.73985408e-04 3.73985408e-09
2.37968302e+00 3.73736429e-04 3.73736429e-09
2.37134482e+00 3.69528636e-04 3.69528636e-09
2.36303583e+00 3.70581867e-04 3.70581867e-09
2.35475595e+00 3.75429155e-04 3.75429155e-09
2.34650509e+00 3.66376838e-04 3.66376838e-09
2.33828313e+00 3.67444414e-04 3.67444414e-09
2.33008999e+00 3.67450946e-04 3.67450946e-09
2.32192555e+00 3.66958949e-04 3.66958949e-09
2.31378972e+00 3.65438058e-04 3.65438058e-09
2.30568240e+00 3.64172748e-04 3.64172748e-09
2.29760348e+00 3.68863465e-04 3.68863465e-09
2.28955288e+00 3.62696255e-04 3.62696255e-09
2.28153048e+00 3.63822997e-04 3.63822997e-09
2.27353619e+00 3.62413510e-04 3.62413510e-09
2.26556991e+00 3.61801432e-04 3.61801432e-09
2.25763155e+00 3.63188021e-04 3.63188021e-09
2.24972100e+00 3.63552096e-04 3.63552096e-09
2.24183817e+00 3.63286303e-04 3.63286303e-09
2.23398296e+00 3.64607590e-04 3.64607590e-09
2.22615527e+00 3.64134904e-04 3.64134904e-09
2.21835501e+00 3.66033121e-04 3.66033121e-09
2.21058209e+00 3.64598135e-04 3.64598135e-09
2.20283639e+00 3.66507213e-04 3.66507213e-09
2.19511784e+00 3.65616205e-04 3.65616205e-09
2.18742634e+00 3.66953197e-04 3.66953197e-09
2.17976178e+00 3.67560390e-04 3.67560390e-09
2.17212408e+00 3.67879764e-04 3.67879764e-09
2.16451314e+00 3.69582008e-04 3.69582008e-09
2.15692887e+00 3.69603309e-04 3.69603309e-09
2.14937118e+00 3.72112806e-04 3.72112806e-09
2.14183996e+00 3.71390233e-04 3.71390233e-09
2.13433514e+00 3.71535001e-04 3.71535001e-09
2.12685661e+00 3.73228629e-04 3.73228629e-09
2.11940429e+00 3.73767864e-04 3.73767864e-09
2.11197807e+00 3.73965211e-04 3.73965211e-09
2.10457788e+00 3.73521686e-04 3.73521686e-09
2.09720362e+00 3.75970380e-04 3.75970380e-09
2.08985520e+00 3.76507804e-04 3.76507804e-09
2.08253252e+00 3.75516836e-04 3.75516836e-09
2.07523551e+00 3.77765370e-04 3.77765370e-09
2.06796406e+00 3.76682456e-04 3.76682456e-09
2.06071809e+00 3.78849713e-04 3.78849713e-09
2.05349751e+00 3.78798939e-04 3.78798939e-09
2.04630223e+00 3.76672649e-04 3.76672649e-09
2.03913216e+00 3.80289976e-04 3.80289976e-09
2.03198721e+00 3.79142814e-04 3.79142814e-09
2.02486730e+00 3.78184131e-04 3.78184131e-09
2.01777234e+00 3.77478772e-04 3.77478772e-09
2.01070224e+00 3.81787344e-04 3.81787344e-09
2.00365691e+00 3.78918263e-04 3.78918263e-09
1.99663626e+00 3.79675692e-04 3.79675692e-09
1.98964022e+00 3.76058156e-04 3.76058156e-09
1.98266869e+00 3.82279090e-04 3.82279090e-09
1.97572159e+00 3.77961789e-04 3.77961789e-09
1.96879883e+00 3.77169225e-04 3.77169225e-09
1.96190033e+00 3.76561590e-04 3.76561590e-09
1.95502599e+00 3.79397026e-04 3.79397026e-09
1.94817575e+00 3.79218183e-04 3.79218183e-09
